ttime,pm1,pm2,pm3,am,sm,st,lum
19-07-2022 05:59,6.7,6.7,92.48,0,7692,25.55,22
19-07-2022 06:04,0.55,6.7,99.18,2.4,7813,25.55,42
19-07-2022 06:09,1.11,6.7,99.18,0,7813,25.55,61
19-07-2022 06:14,1.67,6.7,99.18,0,7813,25.55,120
19-07-2022 06:19,2.23,6.7,99.18,0,7813,25.54,165
19-07-2022 06:24,2.79,6.7,99.18,1.6,7937,25.53,234
19-07-2022 06:29,3.35,6.7,99.18,1.6,7937,25.53,353
19-07-2022 06:34,3.91,6.7,99.18,1.6,7937,25.52,652
19-07-2022 06:39,4.47,6.7,99.18,1.6,7813,25.52,1098
19-07-2022 06:44,5.02,6.7,99.18,0.8,7813,25.51,1037
19-07-2022 06:49,5.58,6.7,99.18,0.8,7813,25.5,1334
19-07-2022 06:54,6.14,6.7,99.18,2.4,7813,25.5,2189
19-07-2022 06:59,6.7,6.7,99.18,0,7813,25.49,1251
19-07-2022 07:04,0.55,6.7,105.89,1.6,7813,25.49,1799
19-07-2022 07:09,1.11,6.7,105.89,0,7692,25.49,2905
19-07-2022 07:14,1.67,6.7,105.89,0.8,7813,25.49,4051
19-07-2022 07:19,2.23,6.7,105.89,2.4,7937,25.48,3229
19-07-2022 07:24,2.79,6.7,105.89,1.6,7692,25.47,5552
19-07-2022 07:29,3.35,6.7,105.89,2.4,7692,25.47,6113
19-07-2022 07:34,3.91,6.7,105.89,0,7813,25.46,6235
19-07-2022 07:39,4.47,6.7,105.89,2.4,7813,25.46,10365
19-07-2022 07:44,5.02,6.7,105.89,1.6,7937,25.45,12321
19-07-2022 07:49,5.58,6.7,105.89,5.6,7692,25.45,12297
19-07-2022 07:54,6.14,6.7,105.89,4.8,7813,25.44,14259
19-07-2022 07:59,6.7,6.7,105.89,3.2,7692,25.44,13371
19-07-2022 08:04,0.55,6.7,112.59,2.4,7692,25.43,16946
19-07-2022 08:09,1.11,6.7,112.59,4,7813,25.43,384
19-07-2022 08:14,1.67,6.7,112.59,5.6,7813,25.43,2873
19-07-2022 08:19,2.23,6.7,112.59,0.8,7813,25.42,14479
19-07-2022 08:24,2.79,6.7,112.59,3.2,7692,25.42,2634
19-07-2022 08:29,3.35,6.7,112.59,5.6,7692,25.42,384
19-07-2022 08:34,3.91,6.7,112.59,0.8,7692,25.42,384
19-07-2022 08:39,4.47,6.7,112.59,3.2,7692,25.42,384
19-07-2022 08:44,5.02,6.7,112.59,0,7813,25.42,384
19-07-2022 08:49,5.58,6.7,112.59,4,7692,25.42,1218
19-07-2022 08:54,6.14,6.7,112.59,3.2,7813,25.41,15609
19-07-2022 08:59,6.7,6.7,112.59,5.6,7813,25.4,10454
19-07-2022 09:04,0.55,6.7,119.3,1.6,7813,25.39,10539
19-07-2022 09:09,1.11,6.7,119.3,3.2,7692,25.39,5992
19-07-2022 09:14,1.67,6.7,119.3,1.6,7813,25.38,12537
19-07-2022 09:19,2.23,6.7,119.3,0.8,7813,25.38,12881
19-07-2022 09:24,2.79,6.7,119.3,1.6,7692,25.37,15113
19-07-2022 09:29,3.35,6.7,119.3,3.2,7692,25.37,14803
19-07-2022 09:34,3.91,6.7,119.3,1.6,7692,25.37,15999
19-07-2022 09:39,4.47,6.7,119.3,1.6,7692,25.36,15152
19-07-2022 09:44,5.02,6.7,119.3,4,7692,25.36,13675
19-07-2022 09:49,5.58,6.7,119.3,3.2,7813,25.36,13369
19-07-2022 09:54,6.14,6.7,119.3,3.2,7692,25.36,10203
19-07-2022 09:59,6.7,6.7,119.3,2.4,7813,25.36,14422
19-07-2022 10:04,0.55,6.7,126,2.4,7692,25.36,3940
19-07-2022 10:09,1.11,6.7,126,3.2,7692,25.36,2236
19-07-2022 10:14,1.67,6.7,126,3.2,7692,25.36,13901
19-07-2022 10:19,2.23,6.7,126,4,7813,25.36,14311
19-07-2022 10:24,2.79,6.7,126,4,7813,25.36,12642
19-07-2022 10:29,3.35,6.7,126,2.4,7813,25.36,7908
19-07-2022 10:34,3.91,6.7,126,2.4,7813,25.35,9564
19-07-2022 10:39,4.47,6.7,126,3.2,7692,25.35,10918
19-07-2022 10:44,5.02,6.7,126,1.6,7813,25.35,7281
19-07-2022 10:49,5.58,6.7,126,0.8,7813,25.36,384
19-07-2022 10:54,6.14,6.7,126,4,7813,25.36,384
19-07-2022 10:59,6.7,6.7,126,4,7813,25.36,580
19-07-2022 11:04,0.55,6.7,132.71,2.4,7692,25.36,2080
19-07-2022 11:09,1.11,6.7,132.71,0.8,7692,25.36,7046
19-07-2022 11:14,1.67,6.7,132.71,0,7692,25.36,12379
19-07-2022 11:19,2.23,6.7,132.71,4,7692,25.37,1082
19-07-2022 11:24,2.79,6.7,132.71,7.2,7576,25.37,384
19-07-2022 11:29,3.35,6.7,132.71,2.4,7692,25.38,384
19-07-2022 11:34,3.91,6.7,132.71,1.6,7692,25.38,3420
19-07-2022 11:39,4.47,6.7,132.71,8.8,7576,25.38,13287
19-07-2022 11:44,5.02,6.7,132.71,4,7576,25.39,15460
19-07-2022 11:49,5.58,6.7,132.71,1.6,7692,25.39,384
19-07-2022 11:54,6.14,6.7,132.71,4.8,7692,25.39,639
19-07-2022 11:59,6.7,6.7,132.71,0.8,7692,25.4,3515
19-07-2022 12:04,0.55,6.7,139.42,0.8,7576,25.41,5034
19-07-2022 12:09,1.11,6.7,139.42,4,7576,25.41,1612
19-07-2022 12:14,1.67,6.7,139.42,6.4,7692,25.42,1760
19-07-2022 12:19,2.23,6.7,139.42,5.6,7692,25.42,5969
19-07-2022 12:24,2.79,6.7,139.42,1.6,7576,25.42,5379
19-07-2022 12:29,3.35,6.7,139.42,4.8,7576,25.42,1867
19-07-2022 12:34,3.91,6.7,139.42,13.6,7576,25.43,10835
19-07-2022 12:39,4.47,6.7,139.42,4,7692,25.43,6846
19-07-2022 12:44,5.02,6.7,139.42,4,7692,25.44,9715
19-07-2022 12:49,5.58,6.7,139.42,3.2,7692,25.45,3032
19-07-2022 12:54,6.14,6.7,139.42,3.2,7692,25.45,3554
19-07-2022 12:59,6.7,6.7,139.42,3.2,7576,25.46,2629
19-07-2022 13:04,0.55,6.7,146.12,1.6,7576,25.48,4082
19-07-2022 13:09,1.11,6.7,146.12,2.4,7576,25.49,3027
19-07-2022 13:14,1.67,6.7,146.12,3.2,7692,25.49,3109
19-07-2022 13:19,2.23,6.7,146.12,4,7576,25.51,4710
19-07-2022 13:25,2.79,6.7,146.12,4.8,7692,25.52,3336
19-07-2022 13:30,3.35,6.7,146.12,7.2,7692,25.53,1297
19-07-2022 13:35,3.91,6.7,146.12,8,7576,25.54,4722
19-07-2022 13:40,4.47,6.7,146.12,8,7692,25.55,3697
19-07-2022 13:45,5.02,6.7,146.12,3.2,7692,25.55,6399
19-07-2022 13:50,5.58,6.7,146.12,7.2,7692,25.56,11211
19-07-2022 13:55,6.14,6.7,146.12,4,7576,25.58,3947
19-07-2022 14:00,0.55,6.14,152.27,6.4,7576,25.59,6661
19-07-2022 14:05,1.11,6.14,152.27,4.8,7692,25.61,3024
19-07-2022 14:10,1.67,6.14,152.27,7.2,7692,25.62,6422
19-07-2022 14:15,2.23,6.14,152.27,1.6,7692,25.63,15140
19-07-2022 14:20,2.79,6.14,152.27,8,7576,25.64,5608
19-07-2022 14:25,3.35,6.14,152.27,4,7692,25.66,6729
19-07-2022 14:30,3.91,6.14,152.27,9.6,7576,25.67,9193
19-07-2022 14:35,4.47,6.14,152.27,9.6,7692,25.68,10852
19-07-2022 14:40,5.02,6.14,152.27,1.6,7576,25.7,11652
19-07-2022 14:45,5.58,6.14,152.27,4,7576,25.71,8490
19-07-2022 14:50,6.14,6.14,152.27,2.4,7576,25.73,8538
19-07-2022 14:55,6.7,6.14,152.27,8,7692,25.73,3860
19-07-2022 15:00,0.55,6.7,153.66,2.4,7692,25.75,4750
19-07-2022 15:05,1.11,6.7,153.66,3.2,7576,25.77,3559
19-07-2022 15:10,1.67,6.7,153.66,3.2,7692,25.79,10158
19-07-2022 15:15,2.23,6.7,153.66,1.6,7576,25.8,6083
19-07-2022 15:20,2.79,6.7,153.66,3.2,7576,25.82,6326
19-07-2022 15:26,3.35,6.7,153.66,6.4,7576,25.83,9961
19-07-2022 15:31,3.91,6.7,153.66,2.4,7576,25.86,12356
19-07-2022 15:36,4.47,6.7,153.66,4,7576,25.87,11703
19-07-2022 15:42,5.02,6.7,153.66,4.8,7576,25.88,10206
19-07-2022 15:47,5.58,6.7,153.66,4.8,7576,25.91,9862
19-07-2022 15:52,6.14,6.7,153.66,3.2,7692,25.92,10253
19-07-2022 15:57,6.7,6.7,153.66,3.2,7576,25.93,11744
19-07-2022 16:02,0.55,6.7,153.66,4,7576,25.95,11489
19-07-2022 16:07,1.11,6.7,153.66,4.8,7692,25.97,10468
19-07-2022 16:12,1.67,6.7,153.66,3.2,7576,25.98,12252
19-07-2022 16:17,2.23,6.7,153.66,4,7692,26.01,10120
19-07-2022 16:23,2.79,6.7,153.66,3.2,7692,26.03,13723
19-07-2022 16:29,3.35,6.7,153.66,3.2,7813,26.05,10598
19-07-2022 16:35,3.91,6.7,153.66,7.2,7692,26.07,9451
19-07-2022 16:41,4.47,6.7,153.66,2.4,7692,26.1,8367
19-07-2022 16:47,5.02,6.7,153.66,4.8,7692,26.12,11462
19-07-2022 16:53,5.58,6.7,153.66,6.4,7576,26.14,8127
19-07-2022 16:59,0.55,5.58,152.55,2.4,7692,26.17,7556
19-07-2022 17:05,1.11,5.58,152.55,3.2,7813,26.19,6973
19-07-2022 17:11,1.67,5.58,152.55,4.8,7692,26.21,6440
19-07-2022 17:17,2.23,5.58,152.55,3.2,7692,26.24,6325
19-07-2022 17:23,2.79,5.58,152.55,3.2,7692,26.25,5611
19-07-2022 17:29,3.35,5.58,152.55,0.8,7813,26.27,4666
19-07-2022 17:35,3.91,5.58,152.55,6.4,7813,26.3,4256
19-07-2022 17:41,4.47,5.58,152.55,5.6,7813,26.31,4095
19-07-2022 17:47,5.02,5.58,152.55,3.2,7692,26.33,4478
19-07-2022 17:53,5.58,5.58,152.55,2.4,7813,26.35,3601
19-07-2022 17:59,0.55,5.58,151.43,2.4,7813,26.37,3856
19-07-2022 18:05,1.11,5.58,151.43,1.6,7813,26.39,3799
19-07-2022 18:11,1.67,5.58,151.43,1.6,7813,26.41,3625
19-07-2022 18:17,2.23,5.58,151.43,1.6,7813,26.43,2824
19-07-2022 18:23,2.79,5.58,151.43,2.4,7692,26.44,2570
19-07-2022 18:29,3.35,5.58,151.43,1.6,7813,26.46,2191
19-07-2022 18:35,3.91,5.58,151.43,4,7692,26.48,1749
19-07-2022 18:41,4.47,5.58,151.43,0,7692,26.49,1318
19-07-2022 18:47,5.02,5.58,151.43,2.4,7692,26.5,949
19-07-2022 18:53,5.58,5.58,151.43,0.8,7692,26.52,638
19-07-2022 18:59,0.55,5.58,150.31,0.8,7692,26.54,408
19-07-2022 19:05,1.11,5.58,150.31,2.4,7813,26.55,206
19-07-2022 19:11,1.67,5.58,150.31,0,7692,26.56,65
19-07-2022 19:17,2.23,5.58,150.31,3.2,7692,26.58,15
19-07-2022 19:23,2.79,5.58,150.31,1.6,7813,26.59,4
19-07-2022 19:29,3.35,5.58,150.31,4,7813,26.6,2
19-07-2022 19:35,3.91,5.58,150.31,4.8,7692,26.62,1
19-07-2022 19:41,4.47,5.58,150.31,4.8,7813,26.62,1
19-07-2022 19:47,5.02,5.58,150.31,0.8,7813,26.63,1
19-07-2022 19:53,5.58,5.58,150.31,6.4,7692,26.64,1
19-07-2022 19:59,0.55,5.58,149.19,0,7813,26.65,1
19-07-2022 20:05,1.11,5.58,149.19,2.4,7692,26.66,1
19-07-2022 20:11,1.67,5.58,149.19,0,7813,26.67,1
19-07-2022 20:17,2.23,5.58,149.19,3.2,7692,26.67,1
19-07-2022 20:23,2.79,5.58,149.19,0,7692,26.68,1
19-07-2022 20:29,3.35,5.58,149.19,0,7813,26.68,1
19-07-2022 20:35,3.91,5.58,149.19,0,7813,26.68,1
19-07-2022 20:41,4.47,5.58,149.19,0.8,7813,26.69,1
19-07-2022 20:47,5.02,5.58,149.19,0,7813,26.69,1
19-07-2022 20:53,5.58,5.58,149.19,2.4,7813,26.69,1
19-07-2022 20:59,0.55,5.58,148.08,0.8,7692,26.69,1
19-07-2022 21:05,1.11,5.58,148.08,3.2,7813,26.7,1
19-07-2022 21:11,1.67,5.58,148.08,0,7813,26.7,1
19-07-2022 21:17,2.23,5.58,148.08,0.8,7813,26.7,1
19-07-2022 21:23,2.79,5.58,148.08,1.6,7692,26.7,1
19-07-2022 21:29,3.35,5.58,148.08,1.6,7813,26.7,1
19-07-2022 21:35,3.91,5.58,148.08,0.8,7692,26.7,1
19-07-2022 21:41,4.47,5.58,148.08,0.8,7813,26.7,1
19-07-2022 21:47,5.02,5.58,148.08,6.4,7813,26.69,1
19-07-2022 21:53,5.58,5.58,148.08,0,7813,26.69,1
19-07-2022 21:59,0.55,5.58,146.96,2.4,7692,26.69,1
19-07-2022 22:05,1.11,5.58,146.96,1.6,7813,26.68,1
19-07-2022 22:11,1.67,5.58,146.96,0.8,7692,26.68,1
19-07-2022 22:17,2.23,5.58,146.96,0.8,7692,26.68,1
19-07-2022 22:23,2.79,5.58,146.96,0.8,7692,26.68,1
19-07-2022 22:29,3.35,5.58,146.96,2.4,7692,26.68,1
19-07-2022 22:35,3.91,5.58,146.96,0.8,7692,26.67,1
19-07-2022 22:41,4.47,5.58,146.96,0,7813,26.67,1
19-07-2022 22:47,5.02,5.58,146.96,6.4,7813,26.66,1
19-07-2022 22:53,5.58,5.58,146.96,0,7692,26.66,1
19-07-2022 22:59,0.55,5.58,145.84,0,7692,26.65,1
19-07-2022 23:05,1.11,5.58,145.84,0,7813,26.64,1
19-07-2022 23:11,1.67,5.58,145.84,0.8,7813,26.64,1
19-07-2022 23:17,2.23,5.58,145.84,0,7692,26.63,1
19-07-2022 23:23,2.79,5.58,145.84,1.6,7813,26.62,1
19-07-2022 23:29,3.35,5.58,145.84,0.8,7813,26.62,1
19-07-2022 23:35,3.91,5.58,145.84,0,7813,26.61,1
19-07-2022 23:41,4.47,5.58,145.84,1.6,7813,26.61,1
19-07-2022 23:47,5.02,5.58,145.84,0,7692,26.6,1
19-07-2022 23:53,5.58,5.58,145.84,0.8,7692,26.59,1
19-07-2022 23:59,0.55,5.58,144.72,0.8,7813,26.58,1
20-07-2022 00:05,1.11,5.58,144.72,1.6,7813,26.57,1
20-07-2022 00:11,1.67,5.58,144.72,1.6,7813,26.56,1
20-07-2022 00:17,2.23,5.58,144.72,0,7692,26.55,1
20-07-2022 00:23,2.79,5.58,144.72,0,7813,26.55,1
20-07-2022 00:29,3.35,5.58,144.72,0,7937,26.54,1
20-07-2022 00:35,3.91,5.58,144.72,0.8,7813,26.53,1
20-07-2022 00:41,4.47,5.58,144.72,0,7692,26.52,1
20-07-2022 00:47,5.02,5.58,144.72,0,7692,26.51,1
20-07-2022 00:53,5.58,5.58,144.72,1.6,7692,26.5,1
20-07-2022 00:59,0.55,5.58,143.61,2.4,7692,26.49,1
20-07-2022 01:05,1.11,5.58,143.61,0.8,7692,26.49,1
20-07-2022 01:11,1.67,5.58,143.61,0,7576,26.48,1
20-07-2022 01:17,2.23,5.58,143.61,5.6,7813,26.47,1
20-07-2022 01:23,2.79,5.58,143.61,0,7692,26.46,1
20-07-2022 01:29,3.35,5.58,143.61,0.8,7692,26.45,1
20-07-2022 01:35,3.91,5.58,143.61,2.4,7692,26.44,1
20-07-2022 01:41,4.47,5.58,143.61,4,7813,26.43,1
